venue_abbr,venue_name,venue_old
Greensborough RSL,Greensborough RSL,Greensborough RSL
Greyhounds Entertainment,Greyhounds Entertainment,Sandown Greyhounds
Grosvenor Hotel,Grosvenor Hotel,Grosvenor Hotel
Grovedale Hotel,Grovedale Hotel,Grovedale Hotel
Hallam Taverner,Hallam Taverner,Hallam Taverner
Hampton Bowling Club,Hampton Bowling Club,Hampton Bowls Club
Hampton Park Tavern,Hampton Park Tavern,Hampton Park Tavern
Hampton RSL,Hampton RSL,Hampton RSL
Harp of Erin Hotel,Harp of Erin Hotel,Harp of Erin Hotel
Hastings Cricket & Football Social Club,Hastings Cricket & Football Social Club,Hastings Cricket & Football
Headquarters Tavern,Headquarters Tavern,Flemington Racecourse Tabaret
Healesville RSL,Healesville RSL,Healesville RSL
Heidelberg RSL,Heidelberg RSL,Heidelberg RSL
Highett RSL,Highett RSL,Highett Returned & Services Club
Highlands Hotel,Highlands Hotel,Highlands Hotel
Highpoint Taverner,Highpoint Taverner,Highpoint Taverner
Highways Sandown,Highways Sandown,Sandown Racecourse
Hill Top Golf and Country Club,Hill Top Golf and Country Club,Hilltop Golf and Country Club
Hogans Hotel,Hogans Hotel,Hogans Hotel
Hoppers Crossing Club,Hoppers Crossing Club,Hoppers Crossing Club
Hoppers Crossing Sports Club,Hoppers Crossing Sports Club,Hoppers Crossing Sports Club
Italian Sports Club of Werribee,Italian Sports Club of Werribee,Italian Sports Club of Werribee
Horsham RSL,Horsham RSL,Horsham RSL
Horsham Sports & Community Club,Horsham Sports & Community Club,Horsham Sports & Community Club
Hotel 520 on Sayers,Hotel 520 on Sayers,Hotel 520 on Sayers
Hotel Sorrento,Hotel Sorrento,Hotel Sorrento
Hurstbridge Bowling Club,Hurstbridge Bowling Club,Hurstbridge Bowling Club
Isle of Wight Hotel,Isle of Wight Hotel,Isle of Wight Hotel
Italian Australian Social Club,Italian Australian Social Club,Italian Australian Sporting and Social C
Ivanhoe Hotel,Ivanhoe Hotel,Ivanhoe Hotel
Jokers on Ryrie,Jokers on Ryrie,Jokers on Ryrie
Junction Club,MVRC Junction Club,Victorian Harness Racing Sports Club
Junction Hotel,Junction Hotel,Junction Hotel
