Venue Name,Venue Type,Address,City / Town,Postcode,LGA,Region,Lat,Long
ST ARNAUD SPORTING CLUB,Club,"LORD NELSON PARK, CHARLTON ROAD",ST ARNAUD,3478,Shire of Northern Grampians,Northern Grampians Shire,-36.6102,143.2602997
THE ELSTERNWICK CLUB,Club,19 SANDHAM STREET,ELSTERNWICK,3185,City of Glen Eira,Glen Eira City,-37.8817,145.0041962
KYNETON BOWLING CLUB,Club,61-79 MOLLISON STREET,KYNETON,3444,Shire of Macedon Ranges,Macedon Ranges Shire,-37.2497,144.4524994
KARINGAL BOWLING CLUB,Club,248 SKYE ROAD,FRANKSTON,3199,City of Frankston,Frankston (Capped Region),-38.1372,145.1564941
SUMMERHILL HOTEL,Hotel,"SHOP 12, 830 PLENTY ROAD",RESERVOIR,3073,City of Darebin,Darebin (Capped Region),-37.7253,145.0265961
CENTRAL POINT MELBOURNE,Club,315-321 ELIZABETH STREET,MELBOURNE,3000,City of Melbourne,"Melbourne CBD, Docklands & Southbank Precincts",-37.8112,144.9613953
MELTON COUNTRY CLUB,Club,"MELTON RECREATION RESERVE, RESERVE ROAD",MELTON,3337,City of Melton,Melton City,-37.6847,144.5924072
STAWELL HARNESS RACING CLUB,Club,"LAIDLAW PARK, PATRICK STREET",STAWELL,3380,Shire of Northern Grampians,Northern Grampians Shire,-37.0696,142.7868958
CARDINIA CLUB,Club,71 RACECOURSE ROAD,PAKENHAM,3810,Shire of Cardinia,Cardinia Shire,-38.077,145.4929962
WEST SIDE HORSHAM,Club,BENNETT ROAD,HORSHAM,3400,Rural City of Horsham,Horsham Rural City,-36.7146,142.1869049
SWAN HILL CLUB,Club,5 -17 MCCALLUM STREET,SWAN HILL,3585,Rural City of Swan Hill,Swan Hill Rural City,-35.3389,143.5605011
FRECCIA AZZURRA CLUB,Club,784-796 SPRINGVALE ROAD,KEYSBOROUGH,3173,City of Kingston,Kingston City,-38.0004,145.1412964
LARA SPORTING CLUB,Club,MILL ROAD,LARA,3212,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.0203,144.4138031
ARARAT RSL,Club,74-76 HIGH STREET,ARARAT,3377,Rural City of Ararat,Ararat Rural City,-37.283,142.9337006
LONG BEACH HOTEL,Hotel,380 NEPEAN HIGHWAY,CHELSEA,3196,City of Kingston,Kingston City,-38.0508,145.1148987
CROSS KEYS HOTEL,Hotel,350 PASCOE VALE ROAD,ESSENDON,3040,City of Moonee Valley,Moonee Valley (Capped Region),-37.7441,144.9281006
ASHLEY HOTEL,Hotel,226 BALLARAT ROAD,BRAYBROOK,3019,City of Maribyrnong,Maribyrnong (Capped Region),-37.7802,144.8647003
BORONIA CLUB HOTEL,Hotel,112 BORONIA ROAD,BORONIA,3155,City of Knox,Knox City,-37.8629,145.2863007
VEGAS AT WAVERLEY GARDENS,Club,"SHOP 122, WAVERLEY GARDENS SHOPPING CENTRE",MULGRAVE,3170,City of Monash,Monash (Capped Region),-37.9353,145.1893005
EPPING PLAZA HOTEL,Hotel,"EPPING PLAZA SHOPPING CENTRE, CNR HIGH & COOPER ST",EPPING,3076,City of Whittlesea,Whittlesea (Capped Region),-37.6533,145.0200043
WHITTLESEA BOWLS CLUB,Club,101 CHURCH STREET,WHITTLESEA,3757,City of Whittlesea,Whittlesea City (Municipal Limit),-37.5089,145.1179962
WARRNAMBOOL RSL,Club,CORNER LIEBIG & MERRI STREET,WARRNAMBOOL,3280,City of Warrnambool,Warrnambool (Capped Region),-38.3869,142.4803925
LALOR BOWLING CLUB,Club,CNR SYDNEY CRESCENT & GORDON STREET,LALOR,3075,City of Whittlesea,Whittlesea (Capped Region),-37.6668,145.0218048
BALLARAT & DISTRICT TROTTING CLUB,Club,"BRAY RACEWAY, BELL STREET",BALLARAT,3350,City of Ballarat,Ballarat (Capped Region),-37.5781,143.8311005
HALLAM TAVERNER,Hotel,241 PRINCES HWY,HALLAM,3803,City of Casey,Casey (Capped Region),-38.0067,145.2727051
TANKERVILLE ARMS HOTEL,Hotel,230 NICHOLSON STREET,FITZROY,3065,City of Yarra,Yarra City,-37.7982,144.9750977
NEWMARKET TAVERN,Hotel,386 RACECOURSE ROAD,NEWMARKET,3031,City of Moonee Valley,Moonee Valley (Capped Region),-37.7873,144.9279938
PASCOE VALE TAVERNER HOTEL,Hotel,12 RAILWAY PARADE,PASCOE VALE,3044,City of Moreland,Moreland City (Municipal Limit),-37.7295,144.9286041
DICK WHITTINGTON TAVERN,Hotel,32 CHAPEL STREET,ST KILDA,3182,City of Port Phillip,Port Phillip City,-37.8645,144.9911957
THE BOROUGH CLUB,Club,2-4 HIGH STREET,EAGLEHAWK,3556,City of Greater Bendigo,Greater Bendigo City,-36.7179,144.2519989
FIRST & LAST HOTEL,Hotel,1141 SYDNEY ROAD,FAWKNER,3060,City of Moreland,Moreland (Capped Region),-37.7189,144.9624939
JOKERS ON RYRIE,Hotel,211 RYRIE STREET,GEELONG,3220,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.1498,144.3621063
MAFFRA COMMUNITY SPORTS CLUB,Club,122 JOHNSON STREET,MAFFRA,3860,Shire of Wellington,Wellington (Capped Region),-37.9673,146.9779968
STEEPLES,Club,CORNER MORNINGTON-TYABB & RACECOURSE ROAD,MORNINGTON,3931,Mornington Peninsula Shire,Mornington Peninsula Shire,-38.2388,145.0673065
ELTHAM HOTEL,Hotel,746 MAIN ROAD,ELTHAM,3095,Shire of Nillumbik,Nillumbik Shire,-37.7214,145.1466064
BIRALLEE TAVERN,Hotel,97-99 MELROSE DRIVE,WODONGA,3690,Rural City of Wodonga,Wodonga City,-36.1273,146.8656006
MCCARTINS HOTEL,Hotel,2 BAIR STREET,LEONGATHA,3953,Shire of South Gippsland,South Gippsland Shire,-38.4767,145.9459991
ROSE SHAMROCK HOTEL,Hotel,709 PLENTY ROAD,EAST RESERVOIR,3073,City of Darebin,Darebin (Capped Region),-37.7291,145.0166931
MALVERNVALE HOTEL,Hotel,1321 MALVERN ROAD,MALVERN,3144,City of Stonnington,Stonnington City,-37.8541,145.0381927
BAKERS ARMS HOTEL,Hotel,355 VICTORIA STREET,ABBOTSFORD,3067,City of Yarra,Yarra City,-37.8099,144.996994
THE COVE HOTEL,Hotel,"THE MARINA, MCLEOD ROAD",PATTERSON LAKES,3197,City of Kingston,Kingston City,-38.0709,145.1363983
VINE HOTEL RICHMOND,Hotel,254 BRIDGE ROAD,RICHMOND,3121,City of Yarra,Yarra City,-37.8187,144.9992981
WATERLOO CUP HOTEL,Hotel,252 MARIBYRNONG ROAD,MOONEE PONDS,3039,City of Moonee Valley,Moonee Valley (Capped Region),-37.7701,144.9057007
PARKVIEW HOTEL,Hotel,131 SCOTCHMER STREET,FITZROY NORTH,3068,City of Yarra,Yarra City,-37.783,144.9835968
NUMURKAH GOLF & BOWLS CLUB,Club,TUNNOCK ROAD,NUMURKAH,3636,Shire of Moira,Moira Shire,-36.0984,145.4398041
GREAT WESTERN HOTEL,Hotel,177 ABERDEEN STREET,NEWTOWN,3220,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.1455,144.3350067
OLIVE TREE HOTEL,Hotel,111 EVANS STREET,SUNBURY,3429,City of Hume,Hume (Capped Region),-37.5818,144.7281036
JUNCTION HOTEL,Hotel,1 PLENTY ROAD,PRESTON,3072,City of Darebin,Darebin (Capped Region),-37.7511,145.0021057
BALACLAVA HOTEL,Hotel,123 CARLISLE STREET,BALACLAVA,3183,City of Port Phillip,Port Phillip City,-37.8687,144.9909973
THE CLAYTON HOTEL,Hotel,319 CLAYTON ROAD,CLAYTON,3168,City of Monash,Monash (Capped Region),-37.9243,145.1195068
ST GEORGE WORKERS CLUB,Club,212 PAKINGTON STREET,GEELONG WEST,3218,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.1425,144.3482056
WANGARATTA CLUB,Club,4 VICTORIA PARADE,WANGARATTA,3677,Rural City of Wangaratta,Wangaratta Rural City,-36.354,146.3265991
ROYAL HOTEL (ESSENDON),Hotel,873 MT ALEXANDER ROAD,ESSENDON,3040,City of Moonee Valley,Moonee Valley (Capped Region),-37.7556,144.917099
HIGHWAYS SANDOWN,Club,591-659 PRINCES HWY,SPRINGVALE,3171,City of Greater Dandenong,Greater Dandenong (Capped Region),-37.9475,145.1719971
NEWPORT SOCIAL,Club,1 MASON STREET,NEWPORT,3015,City of Hobsons Bay,Hobsons Bay (Capped Region),-37.8432,144.8827057
COURT HOUSE HOTEL (FOOTSCRAY),Hotel,166 NICHOLSON STREET,FOOTSCRAY,3011,City of Maribyrnong,Maribyrnong (Capped Region),-37.8019,144.8984985
SUNBURY UNITED SPORTING CLUB,Club,"LANGAMA PARK, MITCHELLS LANE",SUNBURY,3429,City of Hume,Hume (Capped Region),-37.5861,144.709198
SUGAR GUM HOTEL,Hotel,2 GOURLAY ROAD,SYDENHAM,3037,City of Melton,Melton City,-37.6926,144.7431946
THE REX,Club,145 BAY STREET,PORT MELBOURNE,3207,City of Port Phillip,Port Phillip City,-37.8413,144.9394073
CLUB ITALIA SPORTING CLUB,Club,128-152 FURLONG ROAD,NORTH SUNSHINE,3020,City of Brimbank,Brimbank (Capped Region),-37.7605,144.8186951
STAR HOTEL BRIGHT,Hotel,91 GREAT ALPINE ROAD,BRIGHT,3741,Alpine Shire,Alpine Shire,-36.729,146.975296
WANTIRNA CLUB,Club,350 STUD ROAD,WANTIRNA SOUTH,3152,City of Knox,Knox City,-37.87,145.2333069
CROWN HOTEL,Hotel,273 MAIN STREET,LILYDALE,3140,Shire of Yarra Ranges,Yarra Ranges Shire,-37.7571,145.3524933
THE VIC INN,Club,65-67 DOUGLAS PARADE,WILLIAMSTOWN,3016,City of Hobsons Bay,Hobsons Bay (Capped Region),-37.8571,144.8972931
UPPER YARRA RSL,Club,119 SETTLEMENT ROAD,YARRA JUNCTION,3797,Shire of Yarra Ranges,Yarra Ranges Shire,-37.7766,145.6253052
BALLARAT LEAGUES CLUB,Club,52 HUMFFRAY STREET NORTH,BALLARAT,3350,City of Ballarat,Ballarat (Capped Region),-37.5603,143.866806
CLUB KILSYTH,Club,CNR CANTERBURY AND COLCHESTER ROADS,BAYSWATER NORTH,3143,City of Maroondah,Maroondah (Capped Region),-37.822,145.3036957
RESERVOIR RSL,Club,251 SPRING STREET,RESERVOIR,3073,City of Darebin,Darebin (Capped Region),-37.7173,145.0057983
THE SANDS HOTEL,Hotel,71 HALL ROAD,CARRUM DOWNS,3201,City of Frankston,Frankston (Capped Region),-38.1005,145.1840057
CLUB LEEDS,Club,17 LEEDS STREET,FOOTSCRAY,3011,City of Maribyrnong,Maribyrnong (Capped Region),-37.7995,144.9011993
CENTURY CITY WALK,Hotel,285-287 SPRINGVALE ROAD,GLEN WAVERLEY,3150,City of Monash,Monash City (Municipal Limit),-37.8814,145.1643982
KILMORE TRACKSIDE,Club,EAST STREET,KILMORE,3764,Shire of Mitchell,Mitchell Shire,-37.2932,144.9611969
MONASH HOTEL,Hotel,2071 - 2091 DANDENONG ROAD,CLAYTON,3168,City of Monash,Monash (Capped Region),-37.9198,145.1376953
CASTELLO'S CARDINIA HOTEL,Hotel,108 PRINCES HIGHWAY,PAKENHAM,3810,Shire of Cardinia,Cardinia Shire,-38.0708,145.4768066
OAKLEIGH JUNCTION HOTEL,Hotel,1 PORTMAN STREET,OAKLEIGH,3166,City of Monash,Monash (Capped Region),-37.8993,145.0877075
CLUB LAVERTON,Club,15 AVIATION ROAD,LAVERTON,3028,City of Hobsons Bay,Hobsons Bay (Capped Region),-37.8682,144.7619019
CLIFTON SPRINGS GOLF CLUB,Club,92-94 CLEARWATER DRIVE,CLIFTON SPRINGS,3222,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.1541,144.5639038
MILDURA GOLF CLUB,Club,TWELFTH STREET,MILDURA,3500,Rural City of Mildura,Mildura Rural City,-34.1777,142.1376953
MORELAND HOTEL,Hotel,882-888 SYDNEY ROAD,BRUNSWICK,3056,City of Moreland,Moreland (Capped Region),-37.7557,144.9644012
THE TIGERS CLUBHOUSE,Club,70 OLD GEELONG ROAD,HOPPERS CROSSING,3029,City of Wyndham,Wyndham (Capped Region),-37.8805,144.7062073
TRIOS SPORTS CLUB,Club,30 GRANT STREET,CRANBOURNE,3977,City of Casey,Casey (Capped Region),-38.1159,145.2796936
THE COACH AND HORSES,Club,33-37 MAROONDAH HIGHWAY,RINGWOOD,3134,City of Maroondah,Maroondah (Capped Region),-37.8166,145.2176971
WANTIRNA HILL CLUB,Club,715 BORONIA ROAD,WANTIRNA,3152,City of Knox,Knox City,-37.8467,145.2250061
WATERGARDENS HOTEL,Hotel,431 KINGS ROAD,TAYLORS LAKES,3038,City of Brimbank,Brimbank (Capped Region),-37.6995,144.7779999
CHERRY HILL TAVERN,Hotel,189 REYNOLDS ROAD,DONCASTER EAST,3109,City of Manningham,Manningham City,-37.7633,145.1705933
BERWICK SPRINGS HOTEL,Hotel,288-296 CLYDE ROAD,BERWICK,3806,City of Casey,Casey (Capped Region),-38.0588,145.337204
CHELSEA HEIGHTS HOTEL,Hotel,1 WELLS ROAD,CHELSEA HEIGHTS,3196,City of Kingston,Kingston City,-38.0278,145.1322937
OUYEN CLUB,Club,9 PICKERING STREET,OUYEN,3490,Rural City of Mildura,Mildura Rural City,-35.0698,142.3161011
DUKE OF EDINBURGH,Hotel,430-436 SYDNEY ROAD,BRUNSWICK,3056,City of Moreland,Moreland (Capped Region),-37.7678,144.9622955
SUNSHINE RSL,Club,99 DICKSON STREET,SUNSHINE,3020,City of Brimbank,Brimbank (Capped Region),-37.7871,144.8374939
GRAND TERMINUS HOTEL,Hotel,98 MACLEOD STREET,BAIRNSDALE,3875,Shire of East Gippsland,East Gippsland (Capped Region),-37.8275,147.6293945
MOE RACING CLUB,Club,WATERLOO ROAD,MOE,3825,City of La Trobe,Latrobe (Capped Region),-38.1761,146.2516937
MAC'S HOTEL (WARRNAMBOOL),Hotel,199 FAIRY STREET,WARRNAMBOOL,3280,City of Warrnambool,Warrnambool (Capped Region),-38.3782,142.4810944
SHEPPARTON CLUB,Club,455 WYNDHAM STREET,SHEPPARTON,3630,City of Greater Shepparton,Greater Shepparton (Capped Region),-36.3845,145.3995972
BACCHUS MARSH GOLF CLUB,Club,LINKS ROAD,BACCHUS MARSH,3340,Shire of Moorabool,Moorabool Shire,-37.6396,144.427002
ZAGAME'S CAULFIELD CLUB HOTEL,Hotel,25 DERBY ROAD,CAULFIELD EAST,3145,City of Glen Eira,Glen Eira City,-37.8758,145.0415955
LAKES ENTRANCE RSL,Club,221 THE ESPLANADE,LAKES ENTRANCE,3909,Shire of East Gippsland,East Gippsland (Capped Region),-37.8812,147.9808044
STONEYS CLUB,Club,59 GRANT STREET,BACCHUS MARSH,3340,Shire of Moorabool,Moorabool Shire,-37.6831,144.4333954
THE YARRAM COUNTRY CLUB,Club,322-340 COMMERCIAL ROAD,YARRAM,3971,Shire of Wellington,Wellington (Capped Region),-38.5666,146.6746979
ROXBURGH PARK HOTEL,Hotel,CNR SOMERTON & PASCOE VALE RDS,ROXBURGH PARK,3064,City of Hume,Hume (Capped Region),-37.6415,144.929306
NAGAMBIE LAKES ENTERTAINMENT CENTRE,Club,HIGH STREET,NAGAMBIE,3608,Shire of Strathbogie,Strathbogie Shire,-36.7846,145.1533966
THE LAKES ENTERTAINMENT CENTRE,Club,38 CHURCH STREET,LAKES ENTRANCE,3909,Shire of East Gippsland,East Gippsland (Capped Region),-37.879,147.9902039
THE CLUB,Club,1312 - 1322  WESTERN HIGHWAY,CAROLINE SPRINGS,3023,City of Melton,Melton City,-37.7559,144.7418976
RACECOURSE HOTEL (MALVERN EAST),Hotel,895 DANDENONG ROAD,MALVERN EAST,3145,City of Stonnington,Stonnington City,-37.8758,145.0455933
HOGANS HOTEL,Hotel,92 HIGH STREET,WALLAN,3756,Shire of Mitchell,Mitchell Shire,-37.4123,144.9803009
FAMILY HOTEL,Hotel,65 PRINCES WAY,DROUIN,3818,Shire of Baw Baw,Baw Baw Shire,-38.1358,145.857193
BALLARAT GOLF CLUB,Club,1800 STURT STREET,BALLARAT,3350,City of Ballarat,Ballarat (Capped Region),-37.5481,143.8058014
MERBEIN CITIZENS CLUB,Club,108 COMMERCIAL STREET,MERBEIN,3505,Rural City of Mildura,Mildura Rural City,-34.1833,142.0615997
MELTON ENTERTAINMENT PARK,Club,2 FERRIS ROAD,MELTON SOUTH,3338,City of Melton,Melton City,-37.6933,144.6006012
CLUB RINGWOOD,Club,523-531 MAROONDAH HIGHWAY,RINGWOOD,3134,City of Maroondah,Maroondah (Capped Region),-37.7973,145.2537994
KERANG SPORTS AND ENTERTAINMENT VENUE,Club,25 VICTORIA STREET,KERANG,3579,Shire of Gannawarra,Gannawarra Shire,-35.7348,143.9207001
LYNBROOK HOTEL,Hotel,550 SOUTH GIPPSLAND HIGHWAY,LYNBROOK,3975,City of Casey,Casey (Capped Region),-38.0438,145.2514038
THE PHOENIX HOTEL,Hotel,40 WALLACE AVENUE,POINT COOK,3030,City of Wyndham,Wyndham City (Municipal Limit),-37.8725,144.7467957
THE BROOK ON SNEYDES,Club,215 SNEYDES ROAD,POINT COOK,3030,City of Wyndham,Wyndham City (Municipal Limit),-37.8979,144.7288971
THE SALE RSL & COMMUNITY SUB-BRANCH,Club,143 YORK STREET,SALE,3850,Shire of Wellington,Wellington (Capped Region),-38.0904,147.0688934
WEST WATERS HOTEL,Hotel,10-20 LAKE STREET,CAROLINE SPRINGS,3023,City of Melton,Melton City,-37.732,144.7451019
BELL'S HOTEL,Hotel,157 MORAY STREET,SOUTH MELBOURNE,3205,City of Port Phillip,Port Phillip City,-37.8309,144.9626007
MAIL EXCHANGE HOTEL,Hotel,688 BOURKE STREET,MELBOURNE,3000,City of Melbourne,"Melbourne CBD, Docklands & Southbank Precincts",-37.816672,144.953344
NEW BAY HOTEL,Hotel,329 New Street,Brighton,3186,City of Bayside,Bayside City,-37.9045,144.9927063
THE PINK HILL HOTEL,Hotel,13 MAY ROAD,BEACONSFIELD,3807,Shire of Cardinia,Cardinia Shire,-38.0516254,145.3843413
THE FOUNDRY HOTEL COMPLEX,Hotel,366 HIGH STREET,GOLDEN SQUARE,3555,City of Greater Bendigo,Greater Bendigo City,-36.7736,144.2566986
HIGHLANDS HOTEL,Hotel,301 GRAND BOULEVARD,CRAIGIEBURN,3064,City of Hume,Hume (Capped Region),-37.5748,144.9216003
SANCTUARY LAKES HOTEL,Hotel,280-286 POINT COOK ROAD,POINT COOK,3030,City of Wyndham,Wyndham City (Municipal Limit),-37.8942,144.7534943
HOTEL 520 ON SAYERS,Hotel,520 SAYERS ROAD,TARNEIT,3029,City of Wyndham,Wyndham City (Municipal Limit),-37.8477,144.6891937
RAFFERTY'S TAVERN,Hotel,CORNER WALSH ROAD AND PRINCES HIGHWAY,WARRNAMBOOL,3280,City of Warrnambool,Warrnambool (Capped Region),-38.3651,142.4600067
BRIDGE INN HOTEL,Hotel,1425 PLENTY ROAD,MERNDA,3754,City of Whittlesea,Whittlesea City (Municipal Limit),-37.6008,145.0950928
COBRAM HOTEL,Hotel,8-18 STATION STREET,COBRAM,3644,Shire of Moira,Moira Shire,-35.9214,145.6405945
THE BAY & BRIDGE HOTEL,Hotel,316 BAY STREET,PORT MELBOURNE,3207,City of Port Phillip,Port Phillip City,-37.8369,144.9443054
AMERICAN HOTEL,Hotel,239-249 Hare Street,Echuca,3564,Shire of Campaspe,Campaspe Shire,-36.1241,144.7480927
FLYING HORSE BAR AND BREWERY,Hotel,10691-10699 Princes Highway,Warrnambool,3280,City of Warrnambool,Warrnambool (Capped Region),-38.3854,142.5332947
ROBIN HOOD HOTEL,Hotel,33 PEEL STREET NORTH,BALLARAT,3350,City of Ballarat,Ballarat (Capped Region),-37.5613,143.8636932
PEPPERMILL INN HOTEL MOTEL,Hotel,7900 GOULBURN VALLEY HIGHWAY,KIALLA,3631,City of Greater Shepparton,Greater Shepparton (Capped Region),-36.4198,145.394104
FYANSFORD HOTEL,Hotel,67 HYLAND STREET,FYANSFORD,3221,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.1422,144.3099976
TERMINUS HOTEL,Hotel,23-31 HARKER STREET,HEALESVILLE,3777,Shire of Yarra Ranges,Yarra Ranges Shire,-37.65636766,145.5096132
CARDINIA PARK HOTEL,Hotel,200 BEACONSFIELD - EMERALD ROAD,BEACONSFIELD,3807,Shire of Cardinia,Cardinia Shire,-38.02870185,145.3781971
VALLEY INN HOTEL,Hotel,120 FYANS STREET,GEELONG,3220,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.1632246,144.3586919
LAKESIDE CLUB,Club,2 FOSTER STREET,SALE,3850,Shire of Wellington,Wellington (Capped Region),-38.1118,147.080307
CLUB OFFICER,Club,3 NIKI PL,OFFICER,3809,Shire of Cardinia,Cardinia Shire,-38.07589023,145.4344028
WANGARATTA RSL,Club,2-4 TEMPLETON STREET,WANGARATTA,3677,Rural City of Wangaratta,Wangaratta Rural City,-36.35222166,146.3266491
CLUB TARNEIT,Club,622 LEAKES ROAD,TARNEIT,3029,City of Wyndham,Wyndham City (Municipal Limit),-37.83370185,144.7017827
THE BRASS MONKEY ON LONSDALE,Hotel,388 LONSDALE STREET,MELBOURNE,3000,City of Melbourne,"Melbourne CBD, Docklands & Southbank Precincts",-37.8128651,144.961012
BATMAN'S HILL ON COLLINS,Hotel,623 COLLINS STREET,MELBOURNE,3000,City of Melbourne,"Melbourne CBD, Docklands & Southbank Precincts",-37.81920519,144.9545678
THE MEETING PLACE,Hotel,315 ELIZABETH STREET,MELBOURNE,3000,City of Melbourne,"Melbourne CBD, Docklands & Southbank Precincts",-37.81126963,144.9615102
ALBION HOTEL,CLUB,314 SMITH STREET,COLLINGWOOD,3066,City of Yarra,Yarra,-37.79966095,144.9844435
BENTLEIGH CLUB,CLUB,,BENTLEIGH,,City of Glen Eira,Glen Eira City,-37.913182,145.027807
CLUB HOTEL,CLUB,6 MOUNT DANDENONG ROAD,RINGWOOD EAST,3135,City of Maroondah,Maroondah (Capped Region),-37.811975,145.239385
THE JIM DANDY HOTEL,Hotel,"193 Lonsdale St, ",DANDENONG,3175,City of Greater Dandenong,Greater Dandenong (Capped Region),-37.989905,145.214399
THE WONTHAGGI CLUB,CLUB,MCKENZIE STREET,WONTHAGGI,3995,Bass Coast Shire,Bass Coast (Capped Region),-38.59699435,145.589999
BRIGHTON BEACH HOTEL,HOTEL,4 THE ESPLANADE,BRIGHTON,3186,City of Bayside,Bayside City,-37.9264365,144.9877303
CLUB TIVOLI,CLUB,291 DANDENONG ROAD,WINDSOR,3181,City of Stonnington,Stonnington City,-37.859123,145.004726
EAST MALVERN RSL,CLUB,9-13 ELLISON STREET,MALVERN EAST,3145,City of Stonnington,Stonnington City,-37.87204153,145.0666363
THE MINERS TAVERN,HOTEL,120 Lydiard St, Ballarat Central,3350,City of Ballarat,Ballarat (Capped Region),-37.559178,143.858341
WERRIBEE BOWLS CLUB,CLUB,WATTON STREET,WERRIBEE,3030,City of Wyndham,Wyndham City (Municipal Limit),-37.90646,144.652862
GEELONG FOOTBALL SOCIAL CLUB,CLUB,LA TROBE TERRACE,GEELONG,3220,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.1576,144.353117
WILLIAMSTOWN RSL,CLUB,128 Ferguson St,WILLIAMSTOWN,3016,City of Hobsons Bay,Hobsons Bay (Capped Region),-37.858378,144.894078
MOUNT BEAUTY GOLF CLUB,CLUB,TAWONGA CRESCENT,MOUNT BEAUTY,3699,Alpine Shire,Alpine Shire,-36.740983,147.174989
CLUB HAWTHORN,CLUB,HILDA CRESCENT,HAWTHORN,3122,City of Boroondara,Boroondara City,-37.820578,145.029209
NORTH PIER HOTEL,HOTEL,5-6 THE ESPLANADE,COWES,3922,Bass Coast Shire,Bass Coast (Capped Region),-38.44840789,145.2412109
FRANKSTON FOOTBALL CLUB,CLUB,PLOWMAN PLACE,FRANKSTON,3199,City of Frankston,Frankston (Capped Region),-38.14731822,145.1212834
FAIRFIELD RSL,CLUB,7 Railway Pl,FAIRFIELD,3078,City of Darebin,Darebin (Capped Region),-37.780034,145.016689
COURT HOUSE HOTEL,HOTEL,615 Sydney Rd ,BRUNSWICK,3056,City of Moreland,Moreland (Capped Region),-37.762664,144.962278
LYNDHURST CLUB HOTEL,HOTEL,513 Lygon St,BRUNSWICK,3056,City of Moreland,Moreland (Capped Region),-37.76234,144.973322
TOWN HALL HOTEL ,HOTEL,62/68 Main St,STAWELL,3380,Northern Grampians,,-37.05704,142.779208
TORQUAY GOLF CLUB,CLUB,1 GREAT OCEAN ROAD,TORQUAY,3228,Surf Coast Shire,Surf Coast Shire,-38.33958203,144.3114756
BEAUMARIS RSL,CLUB,489 Balcombe Rd,BEAUMARIS,3193,City of Bayside,Bayside City,-37.977512,145.028852
REGGIO CALABRIA CLUB,CLUB,476 BRUNSWICK ROAD,BRUNSWICK WEST,3055,City of Moreland,Moreland (Capped Region),-37.77434329,144.9376815
QUEENSCLIFF BREW HOUSE,HOTEL,2 GELLIBRAND STREET,QUEENSCLIFF,3225,Borough of Queenscliffe,Greater Geelong and Queenscliffe (Capped Region),-38.2657,144.6634
MITHCAM RSL ,CLUB,26 McDowall St,MITCHAM,3132,City of Whitehorse,Whitehorse City,-37.814352,145.194227
THE VICTORIA HOTEL YARRAVILLE,HOTEL,188 HYDE STREET,YARRAVILLE,3013,City of Maribyrnong,Maribyrnong (Capped Region),-37.81700658,144.896304
ELWOOD RSL,CLUB,2 Pine Ave,ELWOOD,3184,City of Port Phillip,Port Phillip City,-37.886343,144.989121
HAMPTON RSL,CLUB,25 HOLYROOD STREET,HAMPTON,3188,City of Bayside,Bayside City,-37.93246696,144.9962462
LOCH SPORT RSL,CLUB,CHARLES STREET RESERVE,LOCH SPORT,3851,Shire of Wellington,Wellington (Capped Region),-38.056435,147.567642
ROYAL HOTEL,HOTEL,132 FIREBRACE STREET,HORSHAM,3400,Rural City of Horsham,Horsham Rural City,-36.71697405,142.1994693
ALMA SPORTS CLUB,CLUB,1 Wilks St ,CAULFIELD NORTH,3161,City of Glen Eira,Glen Eira City,-37.862907,145.014572
ANGLERS TAVERN,HOTEL,2 RALEIGH ROAD,MARIBYRNONG,3032,City of Maribyrnong,Maribyrnong (Capped Region),-37.76936726,144.9012009
Aspendale Edithvale RSL,CLUB,111 Kinross Ave,EDITHVALE,3196,City of Kingston,Kingston City,-38.03324,145.117175
NORTHCOTE RSL,CLUB,496 High Street,NORTHCOTE,3070,City of Darebin,Darebin (Capped Region),-37.765017,144.999605
NORTH SHORE SPORTS CLUB,CLUB,39A ROSE AVENUE,NORLANE,3214,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.0883555,144.3614807
BUNINYONG GOLF CLUB,CLUB,613 LEARMONTH STREET,BUNINYONG,3357,City of Ballarat,Ballarat (Capped Region),-37.648971,143.8763242
DANISH CLUB,CLUB,177 Beaconsfield Parade,MIDDLE PARK,3206,City of Port Phillip,Port Phillip City,-37.850892,144.955383
HOTEL SORRENTO,HOTEL,5 HOTHAM ROAD,SORRENTO,3943,Mornington Peninsula Shire,Mornington Peninsula Shire,-38.33663843,144.7422225
OAKLEIGH-CARNEGIE RSL,CLUB,95-97 DRUMMOND STREET,OAKLEIGH,3166,City of Monash,Monash (Capped Region),-37.89692198,145.0898128
HEIDELBERG RSL,CLUB,180 BELL STREET,HEIDELBERG WEST,3084,City of Banyule,Banyule City (Municipal Limit),-37.752175,145.049587
CLUB WARRANDYTE,CLUB,120 YARRA STREET,WARRANDYTE,3113,City of Manningham,Manningham City,-37.73891501,145.2180702
